canonicalId,name,description,module,path,install_to_bmad
"bmad-document-project","bmad-document-project","Document brownfield projects for AI context. Use when the user says ""document this project"" or ""generate project docs""","bmm","_bmad/bmm/1-analysis/bmad-document-project/SKILL.md","true"
"bmad-product-brief","bmad-product-brief","Create or update product briefs through guided or autonomous discovery. Use when the user requests to create or update a Product Brief.","bmm","_bmad/bmm/1-analysis/bmad-product-brief/SKILL.md","true"
"bmad-domain-research","bmad-domain-research","Conduct domain and industry research. Use when the user says wants to do domain research for a topic or industry","bmm","_bmad/bmm/1-analysis/research/bmad-domain-research/SKILL.md","true"
"bmad-market-research","bmad-market-research","Conduct market research on competition and customers. Use when the user says they need market research","bmm","_bmad/bmm/1-analysis/research/bmad-market-research/SKILL.md","true"
"bmad-technical-research","bmad-technical-research","Conduct technical research on technologies and architecture. Use when the user says they would like to do or produce a technical research report","bmm","_bmad/bmm/1-analysis/research/bmad-technical-research/SKILL.md","true"
"bmad-agent-pm","bmad-agent-pm","Product manager for PRD creation and requirements discovery. Use when the user asks to talk to John or requests the product manager.","bmm","_bmad/bmm/2-plan-workflows/bmad-agent-pm/SKILL.md","true"
"bmad-agent-ux-designer","bmad-agent-ux-designer","UX designer and UI specialist. Use when the user asks to talk to Sally or requests the UX designer.","bmm","_bmad/bmm/2-plan-workflows/bmad-agent-ux-designer/SKILL.md","true"
"bmad-create-prd","bmad-create-prd","Create a PRD from scratch. Use when the user says ""lets create a product requirements document"" or ""I want to create a new PRD""","bmm","_bmad/bmm/2-plan-workflows/bmad-create-prd/SKILL.md","true"
"bmad-create-ux-design","bmad-create-ux-design","Plan UX patterns and design specifications. Use when the user says ""lets create UX design"" or ""create UX specifications"" or ""help me plan the UX""","bmm","_bmad/bmm/2-plan-workflows/bmad-create-ux-design/SKILL.md","true"
"bmad-edit-prd","bmad-edit-prd","Edit an existing PRD. Use when the user says ""edit this PRD"".","bmm","_bmad/bmm/2-plan-workflows/bmad-edit-prd/SKILL.md","true"
"bmad-validate-prd","bmad-validate-prd","Validate a PRD against standards. Use when the user says ""validate this PRD"" or ""run PRD validation""","bmm","_bmad/bmm/2-plan-workflows/bmad-validate-prd/SKILL.md","true"
"bmad-agent-architect","bmad-agent-architect","System architect and technical design leader. Use when the user asks to talk to Winston or requests the architect.","bmm","_bmad/bmm/3-solutioning/bmad-agent-architect/SKILL.md","true"
"bmad-check-implementation-readiness","bmad-check-implementation-readiness","Validate PRD, UX, Architecture and Epics specs are complete. Use when the user says ""check implementation readiness"".","bmm","_bmad/bmm/3-solutioning/bmad-check-implementation-readiness/SKILL.md","true"
"bmad-create-architecture","bmad-create-architecture","Create architecture solution design decisions for AI agent consistency. Use when the user says ""lets create architecture"" or ""create technical architecture"" or ""create a solution design""","bmm","_bmad/bmm/3-solutioning/bmad-create-architecture/SKILL.md","true"
"bmad-create-epics-and-stories","bmad-create-epics-and-stories","Break requirements into epics and user stories. Use when the user says ""create the epics and stories list""","bmm","_bmad/bmm/3-solutioning/bmad-create-epics-and-stories/SKILL.md","true"
"bmad-generate-project-context","bmad-generate-project-context","Create project-context.md with AI rules. Use when the user says ""generate project context"" or ""create project context""","bmm","_bmad/bmm/3-solutioning/bmad-generate-project-context/SKILL.md","true"
"bmad-agent-dev","bmad-agent-dev","Senior software engineer for story execution and code implementation. Use when the user asks to talk to Amelia or requests the developer agent.","bmm","_bmad/bmm/4-implementation/bmad-agent-dev/SKILL.md","true"
"bmad-agent-qa","bmad-agent-qa","QA engineer for test automation and coverage. Use when the user asks to talk to Quinn or requests the QA engineer.","bmm","_bmad/bmm/4-implementation/bmad-agent-qa/SKILL.md","true"
"bmad-agent-quick-flow-solo-dev","bmad-agent-quick-flow-solo-dev","Elite full-stack developer for rapid spec and implementation. Use when the user asks to talk to Barry or requests the quick flow solo dev.","bmm","_bmad/bmm/4-implementation/bmad-agent-quick-flow-solo-dev/SKILL.md","true"
"bmad-agent-sm","bmad-agent-sm","Scrum master for sprint planning and story preparation. Use when the user asks to talk to Bob or requests the scrum master.","bmm","_bmad/bmm/4-implementation/bmad-agent-sm/SKILL.md","true"
"bmad-code-review","bmad-code-review","Review code changes adversarially using parallel review layers (Blind Hunter, Edge Case Hunter, Acceptance Auditor) with structured triage into actionable categories. Use when the user says ""run code review"" or ""review this code""","bmm","_bmad/bmm/4-implementation/bmad-code-review/SKILL.md","true"
"bmad-correct-course","bmad-correct-course","Manage significant changes during sprint execution. Use when the user says ""correct course"" or ""propose sprint change""","bmm","_bmad/bmm/4-implementation/bmad-correct-course/SKILL.md","true"
"bmad-create-story","bmad-create-story","Creates a dedicated story file with all the context the agent will need to implement it later. Use when the user says ""create the next story"" or ""create story [story identifier]""","bmm","_bmad/bmm/4-implementation/bmad-create-story/SKILL.md","true"
"bmad-dev-story","bmad-dev-story","Execute story implementation following a context filled story spec file. Use when the user says ""dev this story [story file]"" or ""implement the next story in the sprint plan""","bmm","_bmad/bmm/4-implementation/bmad-dev-story/SKILL.md","true"
"bmad-qa-generate-e2e-tests","bmad-qa-generate-e2e-tests","Generate end to end automated tests for existing features. Use when the user says ""create qa automated tests for [feature]""","bmm","_bmad/bmm/4-implementation/bmad-qa-generate-e2e-tests/SKILL.md","true"
"bmad-quick-dev","bmad-quick-dev","Implements any user intent, requirement, story, bug fix or change request by producing clean working code artifacts that follow the project's existing architecture, patterns and conventions. Use when the user wants to build, fix, tweak, refactor, add or modify any code, component or feature.","bmm","_bmad/bmm/4-implementation/bmad-quick-dev/SKILL.md","true"
"bmad-retrospective","bmad-retrospective","Post-epic review to extract lessons and assess success. Use when the user says ""run a retrospective"" or ""lets retro the epic [epic]""","bmm","_bmad/bmm/4-implementation/bmad-retrospective/SKILL.md","true"
"bmad-sprint-planning","bmad-sprint-planning","Generate sprint status tracking from epics. Use when the user says ""run sprint planning"" or ""generate sprint plan""","bmm","_bmad/bmm/4-implementation/bmad-sprint-planning/SKILL.md","true"
"bmad-sprint-status","bmad-sprint-status","Summarize sprint status and surface risks. Use when the user says ""check sprint status"" or ""show sprint status""","bmm","_bmad/bmm/4-implementation/bmad-sprint-status/SKILL.md","true"
"add-sprint","add-sprint","Guided workflow to create a new sprint entity with capacity limits, optional ISO dates, and structured YAML schema for sprint planning","ma-skills","_bmad/ma-skills/skills/add-sprint/SKILL.md","true"
"add-to-sprint","add-to-sprint","Guided workflow to assign backlog items to a sprint from the flat prioritized backlog","ma-skills","_bmad/ma-skills/skills/add-to-sprint/SKILL.md","true"
"bmad-ma-agent-cyber","bmad-ma-agent-cyber","Cyber Agent (Yael) — Cybersecurity analyst specializing in vulnerability assessment, compliance, and security hardening","ma-skills","_bmad/ma-skills/skills/bmad-ma-agent-cyber/SKILL.md","true"
"bmad-ma-agent-devops","bmad-ma-agent-devops","DevOps Agent (Amit) — DevOps engineer specializing in CI/CD pipelines, infrastructure automation, and container orchestration","ma-skills","_bmad/ma-skills/skills/bmad-ma-agent-devops/SKILL.md","true"
"bmad-ma-agent-mil498","bmad-ma-agent-mil498","MIL-STD-498 Agent (Joseph) — Defense documentation expert specializing in MIL-STD-498 Data Item Descriptions","ma-skills","_bmad/ma-skills/skills/bmad-ma-agent-mil498/SKILL.md","true"
"bmad-ma-agent-ml","bmad-ma-agent-ml","Demerzel (ML Scientist) — Machine Learning Scientist specializing in falsifiable hypothesis validation and failure-cost analysis","ma-skills","_bmad/ma-skills/skills/bmad-ma-agent-ml/SKILL.md","true"
"bmad-ma-agent-sre","bmad-ma-agent-sre","SRE Agent (Alex) — Site Reliability Engineer specializing in system availability, reliability, and performance optimization","ma-skills","_bmad/ma-skills/skills/bmad-ma-agent-sre/SKILL.md","true"
"cleanup-done","cleanup-done","Archive done stories and bugs — move files to done/ subfolder and remove from sprint/backlog","ma-skills","_bmad/ma-skills/skills/cleanup-done/SKILL.md","true"
"create-bug-story","create-bug-story","Guided workflow to create a structured bug story from a detected defect","ma-skills","_bmad/ma-skills/skills/create-bug-story/SKILL.md","true"
"cyber-generate-certs","cyber-generate-certs","Generate self-signed certificates using the self-signed-cert skill","ma-skills","_bmad/ma-skills/skills/cyber-generate-certs/SKILL.md","true"
"cyber-immunity-estimation","cyber-immunity-estimation","Assess overall security posture and immunity against common attack vectors","ma-skills","_bmad/ma-skills/skills/cyber-immunity-estimation/SKILL.md","true"
"cyber-security-audit","cyber-security-audit","Comprehensive security audit of infrastructure and application configuration","ma-skills","_bmad/ma-skills/skills/cyber-security-audit/SKILL.md","true"
"cyber-vault-secrets","cyber-vault-secrets","Manage secrets, policies, and authentication in HashiCorp Vault","ma-skills","_bmad/ma-skills/skills/cyber-vault-secrets/SKILL.md","true"
"cyber-verify-docker-users","cyber-verify-docker-users","Audit Docker images for proper user management and least privilege","ma-skills","_bmad/ma-skills/skills/cyber-verify-docker-users/SKILL.md","true"
"cyber-verify-image-signature","cyber-verify-image-signature","Verify Docker image signatures for supply chain security","ma-skills","_bmad/ma-skills/skills/cyber-verify-image-signature/SKILL.md","true"
"cyber-vulnerability-scan","cyber-vulnerability-scan","Orchestrate comprehensive vulnerability scanning across tech stacks","ma-skills","_bmad/ma-skills/skills/cyber-vulnerability-scan/SKILL.md","true"
"devops-configure-infrastructure","devops-configure-infrastructure","Define and configure core infrastructure components in Kubernetes","ma-skills","_bmad/ma-skills/skills/devops-configure-infrastructure/SKILL.md","true"
"devops-disconnected-deployment","devops-disconnected-deployment","Deploy applications in air-gapped or restricted on-prem environments","ma-skills","_bmad/ma-skills/skills/devops-disconnected-deployment/SKILL.md","true"
"devops-docker-compose-setup","devops-docker-compose-setup","Multi-container orchestration using Docker Compose for development and on-prem","ma-skills","_bmad/ma-skills/skills/devops-docker-compose-setup/SKILL.md","true"
"devops-manage-helm","devops-manage-helm","Create and manage Helm charts and Helm umbrellas for complex systems","ma-skills","_bmad/ma-skills/skills/devops-manage-helm/SKILL.md","true"
"devops-sign-docker-image","devops-sign-docker-image","Cryptographically sign Docker images using certificates and Cosign","ma-skills","_bmad/ma-skills/skills/devops-sign-docker-image/SKILL.md","true"
"generate-backlog","generate-backlog","Generate or refresh a flat backlog.yaml from epics and bug stories, preserving existing priority and sprint assignments","ma-skills","_bmad/ma-skills/skills/generate-backlog/SKILL.md","true"
"mil498-ocd","mil498-ocd","Generate MIL-STD-498 Operational Concept Description (OCD)","ma-skills","_bmad/ma-skills/skills/mil498-ocd/SKILL.md","true"
"mil498-sdd","mil498-sdd","Generate MIL-STD-498 Software Design Description (SDD)","ma-skills","_bmad/ma-skills/skills/mil498-sdd/SKILL.md","true"
"mil498-sdp","mil498-sdp","Generate MIL-STD-498 Software Development Plan (SDP)","ma-skills","_bmad/ma-skills/skills/mil498-sdp/SKILL.md","true"
"mil498-srs","mil498-srs","Generate MIL-STD-498 Software Requirements Specification (SRS)","ma-skills","_bmad/ma-skills/skills/mil498-srs/SKILL.md","true"
"mil498-ssdd","mil498-ssdd","Generate MIL-STD-498 System/Subsystem Design Description (SSDD)","ma-skills","_bmad/ma-skills/skills/mil498-ssdd/SKILL.md","true"
"mil498-sss","mil498-sss","Generate MIL-STD-498 System/Subsystem Specification (SSS)","ma-skills","_bmad/ma-skills/skills/mil498-sss/SKILL.md","true"
"mil498-std","mil498-std","Generate MIL-STD-498 Software Test Description (STD)","ma-skills","_bmad/ma-skills/skills/mil498-std/SKILL.md","true"
"ml-advise","ml-advise","Acts as Demerzel (Machine Learning Scientist) to search past experiments, retrospectives, and TechSpecs to surface relevant findings, validated parameters, and failure warnings before starting new work.","ma-skills","_bmad/ma-skills/skills/ml-advise/SKILL.md","true"
"ml-analysis","ml-analysis","ML Analysis - Evaluate experiment results against the locked TechSpec contract and produce a verdict","ma-skills","_bmad/ma-skills/skills/ml-analysis/SKILL.md","true"
"ml-architecture","ml-architecture","ML Architecture — Define the model stack, feature engineering strategy, and training pipeline design","ma-skills","_bmad/ma-skills/skills/ml-architecture/SKILL.md","true"
"ml-detailed-design","ml-detailed-design","Acts as Demerzel (Machine Learning Scientist / Tech Lead) to break down the approved architecture into granular sub-agent tasks, separated into infrastructure tasks (INF-*) and experiment tasks (EXP-*).","ma-skills","_bmad/ma-skills/skills/ml-detailed-design/SKILL.md","true"
"ml-eda","ml-eda","ML EDA — Exploratory Data Analysis and Research Thesis validation","ma-skills","_bmad/ma-skills/skills/ml-eda/SKILL.md","true"
"ml-experiment","ml-experiment","ML Experiment - Execute training, hyperparameter optimization, and log all runs to the tracking tool","ma-skills","_bmad/ma-skills/skills/ml-experiment/SKILL.md","true"
"ml-hparam","ml-hparam","Acts as Demerzel (Machine Learning Scientist) to run structured hyperparameter optimization after a baseline architecture is confirmed to work. Uses Optuna, W&B Sweeps, or Ray Tune. Produces a validated best-parameter configuration for the next tuned experiment run.","ma-skills","_bmad/ma-skills/skills/ml-hparam/SKILL.md","true"
"ml-ideation","ml-ideation","ML Ideation — Frame the research problem, define success criteria, and produce a Machine Learning PRD","ma-skills","_bmad/ma-skills/skills/ml-ideation/SKILL.md","true"
"ml-infra","ml-infra","ML Infra — Set up the Python environment, install dependencies, and run a smoke test before full training","ma-skills","_bmad/ma-skills/skills/ml-infra/SKILL.md","true"
"ml-retrospective","ml-retrospective","ML Retrospective - Capture learnings, document what worked and what failed, and produce a reusable knowledge artifact","ma-skills","_bmad/ma-skills/skills/ml-retrospective/SKILL.md","true"
"ml-revision","ml-revision","Acts as Demerzel (Machine Learning Scientist) to formulate the next hypothesis, explicitly amend all upstream documents (Thesis, PRD, Architecture, Design) that need updating, and generate the task set for the next experiment cycle.","ma-skills","_bmad/ma-skills/skills/ml-revision/SKILL.md","true"
"ml-techspec","ml-techspec","ML TechSpec — Lock the experiment contract. Defines acceptance criteria that cannot be changed during training.","ma-skills","_bmad/ma-skills/skills/ml-techspec/SKILL.md","true"
"modify-sprint","modify-sprint","Guided workflow to modify an existing sprint — add/remove items, change capacity, update metadata","ma-skills","_bmad/ma-skills/skills/modify-sprint/SKILL.md","true"
"prioritize-backlog","prioritize-backlog","Reprioritize backlog items using multiple criteria — severity, business value, dependencies, type, age","ma-skills","_bmad/ma-skills/skills/prioritize-backlog/SKILL.md","true"
"project-context-expansion","project-context-expansion","Post-retrospective workflow to update project-context.md with discovered patterns and conventions","ma-skills","_bmad/ma-skills/skills/project-context-expansion/SKILL.md","true"
"remove-from-sprint","remove-from-sprint","Remove items from a sprint and return them to the unassigned backlog","ma-skills","_bmad/ma-skills/skills/remove-from-sprint/SKILL.md","true"
"sprint-status-view","sprint-status-view","Display sprint progress with capacity, items, and backlog. Regenerates sprint-status.yaml.","ma-skills","_bmad/ma-skills/skills/sprint-status-view/SKILL.md","true"
"sre-check-deployment-status","sre-check-deployment-status","Check deployment status across environments","ma-skills","_bmad/ma-skills/skills/sre-check-deployment-status/SKILL.md","true"
"sre-check-secrets","sre-check-secrets","Debug and resolve Kubernetes secret issues","ma-skills","_bmad/ma-skills/skills/sre-check-secrets/SKILL.md","true"
"sre-check-system-status","sre-check-system-status","Overall system health check across container runtimes","ma-skills","_bmad/ma-skills/skills/sre-check-system-status/SKILL.md","true"
"sre-day-2-ops","sre-day-2-ops","Day 2 operations and maintenance for long-term cluster stability","ma-skills","_bmad/ma-skills/skills/sre-day-2-ops/SKILL.md","true"
"sre-deployment-strategies","sre-deployment-strategies","Guide advanced deployment strategies including Blue-Green, Canary, and Rolling Updates","ma-skills","_bmad/ma-skills/skills/sre-deployment-strategies/SKILL.md","true"
"sre-fix-deployments","sre-fix-deployments","Automated troubleshooting and fixes for common deployment issues","ma-skills","_bmad/ma-skills/skills/sre-fix-deployments/SKILL.md","true"
"sre-gitops-status","sre-gitops-status","Monitor GitOps synchronization state and detect drift using ArgoCD or Flux","ma-skills","_bmad/ma-skills/skills/sre-gitops-status/SKILL.md","true"
